Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
313,Bangalore,Bangalore,Onion,Puna,FAQ,2000,2500,2200,13-May-24
314,Bangalore,Bangalore,Onion,Puna,FAQ,2000,3200,2600,17-Jan-22
315,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,500,300,27-Feb-23
316,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,600,400,18-May-22
317,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,600,400,27-Sep-22
318,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,800,500,03-Dec-22
319,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,800,600,16-Sep-22
320,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,800,600,18-Oct-22
321,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,500,400,03-Apr-23
322,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,500,400,16-May-23
323,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,700,500,06-Mar-23
324,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,700,500,08-Mar-23
325,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,700,600,25-Apr-22
326,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,04-Aug-22
327,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,06-Oct-22
328,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,25-Apr-23
329,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,25-Jan-24
330,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,600,02-Mar-24
331,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,700,16-Jun-22
332,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,02-Feb-24
333,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,08-Dec-22
334,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,12-Dec-22
335,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,13-Jul-22
336,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,14-Jul-22
337,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,16-Jul-22
338,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,21-May-24
339,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1200,700,16-Apr-24
340,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1200,700,17-Apr-24
341,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1200,1000,09-Nov-22
342,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,600,1000,800,22-Jun-22
343,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1200,26-Dec-22
344,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1300,29-Dec-23
345,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1300,30-Aug-23
346,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1800,1500,21-Dec-23
347,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1800,1600,16-Oct-23
348,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,2000,1400,31-Oct-22
349,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,2000,1500,11-Dec-23
350,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2000,2800,2500,21-Oct-23
351,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2500,3500,3000,18-Nov-23
352,Bangalore,Bangalore,Onion,Local,FAQ,400,800,700,01-Apr-22
353,Bangalore,Bangalore,Onion,Local,FAQ,500,800,700,06-Apr-23
354,Bangalore,Bangalore,Onion,Local,FAQ,500,800,700,31-Mar-23
355,Bangalore,Bangalore,Onion,Local,FAQ,600,800,700,02-May-23
356,Bangalore,Bangalore,Onion,Local,FAQ,600,1000,800,23-Sep-22
357,Bangalore,Bangalore,Onion,Local,FAQ,600,1000,800,25-Aug-22
358,Bangalore,Bangalore,Onion,Local,FAQ,700,900,800,07-Mar-23
359,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,04-Jun-22
360,Bangalore,Bangalore,Onion,Local,FAQ,800,1200,1100,07-Apr-22
361,Bangalore,Bangalore,Onion,Local,FAQ,800,1400,1100,16-Mar-22
362,Bangalore,Bangalore,Onion,Local,FAQ,800,1400,1100,27-Mar-24
363,Bangalore,Bangalore,Onion,Local,FAQ,900,1300,1100,24-Jan-24
364,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,800,600,15-Oct-22
365,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,800,600,27-Mar-24
366,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,600,450,29-Mar-22
367,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,700,500,10-Mar-23
368,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,600,500,10-May-22
369,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,600,500,11-Aug-22
370,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,600,500,16-Aug-22
371,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,700,600,29-Mar-23
372,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,700,600,30-Mar-23
373,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,04-Jun-22
374,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,08-Jun-23
375,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,08-Sep-22
376,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,12-Sep-22
377,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,24-Apr-23
378,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,27-Apr-23
379,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,750,20-Apr-22
380,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,700,16-Jan-23
381,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,700,23-May-24
382,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,20-Jun-23
383,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,22-Jun-23
384,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,700,1000,800,09-Feb-23
385,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1000,900,26-Jul-23
386,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1200,1000,05-Aug-23
387,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1200,1000,19-Feb-24
388,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1200,1000,24-Jul-23
389,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1500,1200,30-May-24
390,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1600,1500,19-Aug-23
391,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1800,1600,09-Oct-23
392,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1500,2000,1800,07-Oct-23
393,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2000,3000,2500,02-Dec-23
394,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2000,3000,2600,07-Dec-23
395,Bangalore,Bangalore,Onion,Local,FAQ,500,800,700,18-May-23
396,Bangalore,Bangalore,Onion,Local,FAQ,500,800,700,23-May-23
397,Bangalore,Bangalore,Onion,Local,FAQ,600,800,700,03-May-23
398,Bangalore,Bangalore,Onion,Local,FAQ,600,800,700,21-Feb-23
399,Bangalore,Bangalore,Onion,Local,FAQ,600,800,700,22-Feb-23
400,Bangalore,Bangalore,Onion,Local,FAQ,600,1000,800,26-Aug-22
401,Bangalore,Bangalore,Onion,Local,FAQ,700,900,800,04-May-22
402,Bangalore,Bangalore,Onion,Local,FAQ,700,900,800,25-May-22
403,Bangalore,Bangalore,Onion,Local,FAQ,700,1000,900,11-Apr-23
404,Bangalore,Bangalore,Onion,Local,FAQ,700,1000,900,15-Apr-23
405,Bangalore,Bangalore,Onion,Local,FAQ,700,1000,900,18-Apr-23
406,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,08-Apr-22
407,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,08-Jun-22
408,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,13-Sep-22
409,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,14-Sep-22
410,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,19-Apr-22
411,Bangalore,Bangalore,Onion,Local,FAQ,1000,1200,1000,11-Jan-23
412,Bangalore,Bangalore,Onion,Local,FAQ,1000,1200,1100,14-Jul-23
413,Bangalore,Bangalore,Onion,Local,FAQ,1000,1300,1200,22-Jun-22
414,Bangalore,Bangalore,Onion,Local,FAQ,1000,1300,1200,23-Jun-22
415,Bangalore,Bangalore,Onion,Local,FAQ,1000,1400,1300,07-Dec-22
416,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1200,17-Jan-23
417,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,07-Feb-24
418,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,17-Dec-22
419,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,17-Mar-23
420,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,30-Jul-22
421,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1400,18-Oct-22
422,Bangalore,Bangalore,Onion,Local,FAQ,1000,1800,1600,22-Nov-22
423,Bangalore,Bangalore,Onion,Local,FAQ,1000,1800,1600,23-Nov-22
424,Bangalore,Bangalore,Onion,Local,FAQ,1200,1500,1300,23-Jan-24
425,Bangalore,Bangalore,Onion,Local,FAQ,1200,1700,1400,03-May-24
426,Bangalore,Bangalore,Onion,Local,FAQ,1200,1700,1400,25-Apr-24
427,Bangalore,Bangalore,Onion,Local,FAQ,1200,1700,1400,29-Apr-24
428,Bangalore,Bangalore,Onion,Local,FAQ,1400,2400,1900,24-Feb-22
429,Bangalore,Bangalore,Onion,Local,FAQ,1500,1800,1700,07-Aug-23
430,Bangalore,Bangalore,Onion,Local,FAQ,1500,1800,1700,08-Aug-23
431,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1700,28-Nov-22
432,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1800,01-Jun-24
433,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1800,01-Sep-23
434,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1800,30-Aug-23
435,Bangalore,Bangalore,Onion,Local,FAQ,1600,2000,1800,23-Aug-23
436,Bangalore,Bangalore,Onion,Local,FAQ,1800,2400,2200,09-Oct-23
437,Bangalore,Bangalore,Onion,Local,FAQ,1800,2400,2200,17-Oct-23
438,Bangalore,Bangalore,Onion,Local,FAQ,2000,2500,2250,19-Feb-22
439,Bangalore,Bangalore,Onion,Local,FAQ,2000,2600,2300,18-Jan-22
440,Bangalore,Bangalore,Onion,Local,FAQ,3000,3800,3600,01-Dec-23
441,Bangalore,Bangalore,Onion,Local,FAQ,3000,4000,3500,03-Nov-23
442,Bangalore,Bangalore,Onion,Local,FAQ,4000,4500,4300,26-Oct-23
443,Bangalore,Bangalore,Onion,Onion,FAQ,800,1300,1200,31-Mar-23
444,Bangalore,Bangalore,Onion,Onion,FAQ,900,1300,1100,06-May-23
445,Bangalore,Bangalore,Onion,Onion,FAQ,900,1300,1100,20-May-22
446,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1300,1200,16-Aug-22
447,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1400,1200,06-Jun-22
448,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1400,1200,29-Mar-22
449,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1400,1300,10-Jun-22
450,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1500,1200,29-Mar-23
451,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1500,1200,30-Mar-23
452,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1600,1300,28-Feb-23
453,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1600,1400,27-Apr-23
454,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1400,1200,09-May-22
455,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1400,1300,07-Sep-22
456,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1400,1300,29-Aug-22
457,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1600,1400,28-Sep-22
458,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1800,1700,10-Oct-22
459,Bangalore,Bangalore,Onion,Onion,FAQ,1300,1500,1400,12-May-22
460,Bangalore,Bangalore,Onion,Onion,FAQ,1300,1500,1400,24-Jun-22
461,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1600,1500,07-Jan-23
462,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1800,1400,21-Mar-22
463,Bangalore,Bangalore,Onion,Onion,FAQ,1500,1700,1600,18-Jun-22
464,Bangalore,Bangalore,Onion,Onion,FAQ,1500,2200,2000,30-Dec-22
465,Bangalore,Bangalore,Onion,Onion,FAQ,1600,2300,1700,05-Apr-24
466,Bangalore,Bangalore,Onion,Local,FAQ,1000,1200,1000,07-Feb-23
467,Bangalore,Bangalore,Onion,Local,FAQ,1000,1200,1100,02-Aug-23
468,Bangalore,Bangalore,Onion,Local,FAQ,1000,1200,1100,25-Jan-23
469,Bangalore,Bangalore,Onion,Local,FAQ,1000,1300,1200,21-Jun-22
470,Bangalore,Bangalore,Onion,Local,FAQ,1000,1400,1300,30-Jan-24
471,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1200,29-Dec-22
472,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1200,31-Dec-22
473,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1250,09-Mar-22
474,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,05-Jul-22
475,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,11-Mar-24
476,Bangalore,Bangalore,Onion,Local,FAQ,1000,1600,1200,02-Feb-24
477,Bangalore,Bangalore,Onion,Local,FAQ,1000,1800,1600,21-Nov-22
478,Bangalore,Bangalore,Onion,Local,FAQ,1000,1800,1600,24-Nov-22
479,Bangalore,Bangalore,Onion,Local,FAQ,1500,1800,1600,28-Dec-22
480,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1800,06-Jan-24
481,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1800,30-Dec-23
482,Bangalore,Bangalore,Onion,Onion,FAQ,800,1000,900,15-May-23
483,Bangalore,Bangalore,Onion,Onion,FAQ,800,1000,900,23-May-23
484,Bangalore,Bangalore,Onion,Onion,FAQ,800,1000,900,27-May-22
485,Bangalore,Bangalore,Onion,Onion,FAQ,800,1100,900,28-Apr-23
486,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1200,1100,03-Mar-23
487,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1200,1100,24-May-22
488,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1300,1100,25-Apr-22
489,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1400,1200,23-Feb-23
490,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1400,1200,23-Sep-22
491,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1600,1300,02-Mar-23
492,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1600,1400,12-Jun-23
493,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1300,1200,06-May-22
494,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1400,1300,02-Sep-22
495,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1600,1400,25-Mar-22
496,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1600,1400,29-May-23
497,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1600,1500,05-Jan-23
498,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1600,1500,31-Jul-23
499,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1800,1400,19-Mar-22
500,Bangalore,Bangalore,Onion,Onion,FAQ,1400,2000,1700,26-Mar-24
501,Bangalore,Bangalore,Onion,Onion,FAQ,1500,1800,1600,23-Jan-24
502,Bangalore,Bangalore,Onion,Onion,FAQ,1500,1800,1700,06-Jul-22
503,Bangalore,Bangalore,Onion,Onion,FAQ,1500,1800,1700,08-Jul-22
504,Bangalore,Bangalore,Onion,Onion,FAQ,1500,1800,1700,28-Jul-22
505,Bangalore,Bangalore,Onion,Onion,FAQ,1500,1800,1700,30-Jun-22
506,Bangalore,Bangalore,Onion,Onion,FAQ,1600,1800,1600,14-Oct-22
507,Bangalore,Bangalore,Onion,Onion,FAQ,1600,1800,1600,18-Oct-22
508,Bangalore,Bangalore,Onion,Onion,FAQ,1700,2000,1800,06-Jul-23
509,Bangalore,Bangalore,Onion,Onion,FAQ,1900,2300,1900,22-Dec-22
510,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2500,2300,08-Nov-22
511,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2600,2200,31-May-24
512,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2700,2500,05-Sep-23
513,Bangalore,Bangalore,Onion,Onion,FAQ,4000,4600,4200,08-Dec-23
514,Bangalore,Bangalore,Onion,Onion,FAQ,4500,5200,5000,26-Oct-23
515,Bangalore,Bangalore,Onion,Puna,FAQ,500,1300,1000,28-Feb-23
516,Bangalore,Bangalore,Onion,Puna,FAQ,800,1900,1350,26-Sep-22
517,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1300,1100,08-Mar-23
518,Bangalore,Bangalore,Onion,Onion,FAQ,1700,2200,2000,28-Mar-24
519,Bangalore,Bangalore,Onion,Onion,FAQ,1800,2100,1900,08-Aug-23
520,Bangalore,Bangalore,Onion,Onion,FAQ,1800,2300,2000,08-May-24
521,Bangalore,Bangalore,Onion,Onion,FAQ,1800,2500,2200,27-Dec-22
522,Bangalore,Bangalore,Onion,Onion,FAQ,1800,2600,2000,21-Nov-22
523,Bangalore,Bangalore,Onion,Onion,FAQ,1800,2600,2000,25-Nov-22
524,Bangalore,Bangalore,Onion,Onion,FAQ,1900,2300,1900,20-Dec-22
525,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2400,2200,27-Dec-23
526,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2600,2200,06-Jun-24
527,Bangalore,Bangalore,Onion,Onion,FAQ,2400,2800,2500,17-Oct-23
528,Bangalore,Bangalore,Onion,Onion,FAQ,4000,5000,4400,20-Nov-23
529,Bangalore,Bangalore,Onion,Onion,FAQ,4400,5000,4500,06-Nov-23
530,Bangalore,Bangalore,Onion,Puna,FAQ,500,1300,1000,02-Mar-23
531,Bangalore,Bangalore,Onion,Puna,FAQ,800,1200,1000,22-Feb-23
532,Bangalore,Bangalore,Onion,Puna,FAQ,800,1600,1100,28-Apr-22
533,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1300,1100,13-Apr-23
534,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1300,1100,21-Apr-23
535,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1400,1300,26-May-22
536,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1500,1300,17-Mar-23
537,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1500,1400,03-Aug-22
538,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1600,1400,06-Aug-22
539,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1600,1400,23-Mar-22
540,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1600,1500,25-Jul-22
541,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,27-Jun-23
542,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1500,23-May-22
543,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1600,20-Mar-24
544,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2000,1500,03-Dec-22
545,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2000,1500,10-Mar-22
546,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2000,1800,22-Jun-22
547,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2200,2100,06-Oct-22
548,Bangalore,Bangalore,Onion,Puna,FAQ,1100,2600,2300,02-Dec-22
549,Bangalore,Bangalore,Onion,Puna,FAQ,1200,1600,1400,10-Feb-23
550,Bangalore,Bangalore,Onion,Puna,FAQ,1300,1700,1600,17-May-22
551,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2000,1750,20-Jul-23
552,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2000,1750,24-Jul-23
553,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2200,1800,07-Aug-23
554,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2200,1800,10-Jan-24
555,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2200,1800,29-Jul-22
556,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2300,2000,27-Dec-23
557,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2300,2000,30-Dec-23
558,Bangalore,Bangalore,Onion,Puna,FAQ,1500,3000,2200,31-May-24
559,Bangalore,Bangalore,Onion,Puna,FAQ,1600,2000,1800,17-Jan-23
560,Bangalore,Bangalore,Onion,Puna,FAQ,1800,2400,2100,03-Jan-23
561,Bangalore,Bangalore,Onion,Puna,FAQ,2000,2800,2500,21-Sep-23
562,Bangalore,Bangalore,Onion,Puna,FAQ,2000,2800,2500,22-Dec-23
563,Bangalore,Bangalore,Onion,Puna,FAQ,2000,2900,2700,04-Sep-23
564,Bangalore,Bangalore,Onion,Puna,FAQ,2000,2900,2700,13-Sep-23
565,Bangalore,Bangalore,Onion,Puna,FAQ,2000,3000,2600,04-Oct-23
566,Bangalore,Bangalore,Onion,Puna,FAQ,2000,3200,2600,11-Feb-22
567,Bangalore,Bangalore,Onion,Puna,FAQ,2000,3400,2700,16-Feb-22
568,Bangalore,Bangalore,Onion,Puna,FAQ,2500,4000,3400,10-Jun-24
569,Bangalore,Bangalore,Onion,Puna,FAQ,3500,4600,4000,18-Nov-23
570,Bangalore,Bangalore,Onion,Puna,FAQ,3500,5000,4000,20-Nov-23
571,Bangalore,Bangalore,Onion,Puna,FAQ,4500,5500,5000,02-Nov-23
572,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1500,1300,02-Feb-23
573,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1500,1300,03-Feb-23
574,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1500,1400,22-Apr-22
575,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1600,1500,26-Jul-22
576,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,01-Jul-23
577,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,15-Mar-22
578,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,25-Aug-22
579,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,28-Jun-23
580,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1500,01-Aug-23
581,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1500,13-Jul-23
582,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1500,14-Jun-23
583,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2000,1600,12-Mar-24
584,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2100,1700,24-Apr-24
585,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2100,1700,29-Apr-24
586,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2200,1800,02-Mar-24
587,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2200,1900,14-Dec-22
588,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2200,1900,15-Dec-22
589,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2200,1900,16-Dec-22
590,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2200,2000,30-Dec-22
591,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2400,1800,01-Feb-24
592,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2400,1800,28-May-24
593,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2500,1750,27-Jan-22
594,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2700,1850,31-Jan-22
595,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2800,2200,20-Oct-22
596,Bangalore,Bangalore,Onion,Puna,FAQ,1200,1600,1400,09-Feb-23
597,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2200,1800,18-Jul-22
598,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2700,2100,28-Feb-22
599,Bangalore,Bangalore,Onion,Puna,FAQ,1500,3000,2200,07-Jun-24
600,Bangalore,Bangalore,Onion,Puna,FAQ,1700,1900,1800,23-Jan-23
601,Bangalore,Bangalore,Onion,Puna,FAQ,1800,2600,2200,09-Jan-23
602,Bangalore,Bangalore,Onion,Puna,FAQ,2000,2900,2700,06-Sep-23
603,Bangalore,Bangalore,Onion,Puna,FAQ,2000,2900,2700,16-Sep-23
604,Bangalore,Bangalore,Onion,Puna,FAQ,2000,3000,2500,07-Feb-22
605,Bangalore,Bangalore,Onion,Puna,FAQ,2000,3000,2600,03-Oct-23
606,Bangalore,Bangalore,Onion,Puna,FAQ,2000,3400,2700,15-Feb-22
607,Bangalore,Bangalore,Onion,Puna,FAQ,3000,3800,3500,04-Nov-22
608,Bangalore,Bangalore,Onion,Puna,FAQ,3500,5000,4400,28-Nov-23
609,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,500,300,28-Feb-23
610,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,600,500,06-Aug-22
611,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,500,400,17-May-23
612,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,700,500,09-Mar-23
613,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,700,600,19-Apr-23
614,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,600,500,23-May-22
615,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,03-Sep-22
616,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,09-Jun-22
617,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,06-Apr-22
618,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,750,19-Apr-22
619,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,700,600,10-Jan-23
620,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,700,600,13-Jan-23
621,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,900,700,23-Jan-23
622,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,700,30-Dec-22
623,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,13-Dec-23
624,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1000,900,27-Jul-23
625,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1100,27-Dec-22
